                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8457,                  6.175,                 3.3847,                      0,                      0,                      0,                      0,                 5.3909,                 5.4907,                  4.219,                  3e-05,                  3e-05,                  3e-05
                      2,                 4.1851,                  5.666,                 2.2285,                      0,                      0,                      0,                      0,                 4.2915,                 5.3839,                 2.4965,             6.9307e-05,             6.9307e-05,             6.9307e-05
                      3,                 3.3867,                 4.9364,                 1.5677,                      0,                      0,                      0,                      0,                 3.5427,                 5.0979,                 1.8499,             0.00010782,             0.00010782,             0.00010782
                      4,                  2.739,                 4.6886,                 1.2604,                      0,                      0,                      0,                      0,                 2.6311,                  4.809,                 1.2792,             0.00014554,             0.00014554,             0.00014554
                      5,                 2.2348,                 4.3207,                 1.1749,                0.00017,                0.01515,                  9e-05,                  2e-05,                 2.2512,                 4.6401,                 1.1744,             0.00018248,             0.00018248,             0.00018248
                      6,                 2.2563,                 4.1426,                 1.0908,                0.00079,                0.07576,                 0.0007,                0.00023,                 1.9207,                  4.444,                 1.0585,             0.00021862,             0.00021862,             0.00021862
                      7,                 2.0033,                 3.9884,                 1.0199,                0.00076,                0.07576,                0.00055,                 0.0002,                 1.9843,                 4.5072,                 1.0299,             0.00025396,             0.00025396,             0.00025396
                      8,                 1.9016,                 3.7386,                0.99416,                0.00211,                0.12121,                 0.0029,                0.00099,                 1.7656,                 4.4224,                0.98719,             0.00028852,             0.00028852,             0.00028852
                      9,                 1.8135,                 3.4428,                0.99169,                0.00389,                0.12121,                0.00711,                0.00291,                 1.5639,                 4.4176,                0.96595,             0.00032228,             0.00032228,             0.00032228
                     10,                 1.6944,                 3.2811,                0.92869,                0.01162,                0.16667,                0.02145,                0.00511,                 1.4617,                 4.4291,                0.94104,             0.00035525,             0.00035525,             0.00035525
                     11,                 1.6348,                 2.9344,                0.94569,                0.01618,                0.16667,                0.03733,                0.01075,                 1.4022,                  4.411,                0.93366,             0.00038743,             0.00038743,             0.00038743
                     12,                  1.523,                 2.6195,                0.93731,                0.03848,                0.27273,                0.08508,                0.02292,                 1.4658,                 4.3662,                0.94306,             0.00041882,             0.00041882,             0.00041882
                     13,                 1.4563,                 2.3034,                0.91322,                0.03672,                0.25758,                0.12392,                0.03298,                 1.4949,                 4.3263,                0.95401,             0.00044941,             0.00044941,             0.00044941
                     14,                 1.5269,                 2.3188,                0.91208,                0.04924,                0.39394,                0.18705,                0.05977,                 1.5224,                 4.2863,                0.95513,             0.00047921,             0.00047921,             0.00047921
                     15,                 1.4069,                 2.0231,                0.89564,                 0.0483,                0.43939,                0.21978,                0.06635,                 1.4665,                 4.2265,                0.94052,             0.00050823,             0.00050823,             0.00050823
                     16,                 1.3388,                 2.0058,                0.89504,                0.03722,                0.43939,                0.18342,                0.06084,                 1.4391,                 4.1936,                0.94503,             0.00053645,             0.00053645,             0.00053645
                     17,                 1.4288,                 1.9002,                0.90415,                0.02954,                0.42424,                0.18727,                0.06471,                 1.4409,                 4.1576,                0.94682,             0.00056387,             0.00056387,             0.00056387
                     18,                 1.4102,                 1.7623,                0.94395,                0.02355,                    0.5,                0.24983,                0.09994,                 1.5205,                 4.1066,                0.95065,             0.00059051,             0.00059051,             0.00059051
                     19,                 1.3806,                 1.7997,                 0.9136,                 0.0223,                0.57576,                0.32804,                0.14075,                 1.5954,                 4.0456,                0.96329,             0.00061635,             0.00061635,             0.00061635
